#sgRNA,DMSO_B1,DMSO_B2,C109_B1,C109_B2
sgRNA1912,223,177,223,167
sgRNA1913,341,262,292,216
sgRNA1914,506,383,412,341
sgRNA1915,350,255,348,298
sgRNA1916,238,194,191,176
sgRNA1917,164,169,163,170
sgRNA1918,987,668,944,660
sgRNA1919,5,5,5,5
sgRNA1920,447,398,395,360
sgRNA1921,200,187,183,151
sgRNA1922,241,224,208,226
sgRNA1923,214,183,195,174
sgRNA1928,5,5,5,5
sgRNA1929,451,351,389,330
sgRNA1930,23,14,16,10
sgRNA1931,210,151,210,162
sgRNA1932,268,211,227,196
sgRNA1933,364,285,251,246
sgRNA1934,211,132,164,127
sgRNA1935,556,452,406,394
sgRNA1936,582,493,593,540
sgRNA1937,558,477,531,484
sgRNA1938,1224,1034,1120,972
sgRNA1939,571,468,457,448
sgRNA1940,216,169,202,124
sgRNA1941,37,35,23,26
sgRNA1942,5,5,5,5
sgRNA1943,277,235,205,214
sgRNA1944,359,332,270,298
sgRNA1945,189,152,147,152
sgRNA1946,335,285,298,262
sgRNA1947,176,147,164,120
sgRNA1948,253,182,205,180
sgRNA1949,5,5,5,5
sgRNA1950,465,351,384,295
sgRNA1951,5,5,5,5
sgRNA1952,168,143,186,131
sgRNA1953,252,190,215,174
sgRNA1954,704,621,679,527
sgRNA1955,6,5,6,6
sgRNA1956,11,12,10,11
sgRNA1957,297,271,253,213
sgRNA1958,27,18,19,14
sgRNA1959,307,300,256,263
sgRNA1960,78,49,79,49
sgRNA1961,178,129,146,161
sgRNA1962,5,5,5,5
sgRNA1963,216,148,156,153
sgRNA1964,123,90,132,89
sgRNA1965,176,133,170,156
sgRNA1966,427,334,339,323
sgRNA1967,173,111,140,107
sgRNA1968,214,158,167,104
sgRNA1969,101,66,88,66
sgRNA1970,199,149,151,139
sgRNA1971,207,153,175,138
sgRNA1972,304,207,231,225
sgRNA1973,5,5,5,5
sgRNA1974,119,113,134,82
sgRNA1975,92,93,95,85
sgRNA1976,238,194,192,176
sgRNA1977,252,164,210,157
sgRNA1978,448,359,180,110
sgRNA1979,142,126,118,114
sgRNA1980,528,424,402,394
sgRNA1981,202,184,197,180
sgRNA1982,262,206,196,210
sgRNA1983,682,515,567,452
sgRNA1984,278,222,183,203
sgRNA1985,908,647,743,590
sgRNA1986,328,281,283,287
sgRNA1987,5,5,5,5
sgRNA1988,5,5,5,5
sgRNA1989,9,10,10,9
sgRNA1990,324,269,254,249
sgRNA1991,5,5,5,5
sgRNA1992,339,275,341,286
sgRNA1993,137,101,128,111
sgRNA1994,208,185,180,200
sgRNA1995,203,149,175,139
sgRNA1996,5,5,5,5
sgRNA1997,119,118,119,116
sgRNA1998,141,114,109,94
sgRNA1999,195,173,185,157
sgRNA2000,794,540,706,485
sgRNA2001,87,76,85,60
sgRNA2002,5,5,5,5
sgRNA2003,5,5,5,5
sgRNA2004,267,230,238,253
sgRNA2005,5,5,6,5
sgRNA2006,201,137,159,134
sgRNA2008,5,5,5,5
sgRNA2009,165,118,131,114
sgRNA2010,188,118,125,145
sgRNA2011,468,391,401,413
sgRNA2012,5,5,5,5
sgRNA2013,119,127,124,109
sgRNA2014,164,136,95,83
sgRNA2015,684,558,586,667
sgRNA2016,182,125,150,133
sgRNA2017,278,230,270,201
sgRNA2018,5,6,6,5
sgRNA2019,5,5,5,5
sgRNA2020,136,91,130,92
sgRNA2021,543,439,578,463
sgRNA2022,17,18,16,13
sgRNA2023,5,5,5,5
sgRNA2026,1413,1242,1242,1256
sgRNA2027,6,6,8,8
sgRNA2028,786,576,628,590
sgRNA2029,484,352,492,429
sgRNA2030,317,251,250,221
sgRNA2031,328,279,260,283
sgRNA2033,5,5,5,5
sgRNA2034,260,233,272,251
sgRNA2035,418,304,327,309
sgRNA2036,254,188,244,157
sgRNA2037,258,160,200,137
sgRNA2038,85,83,105,66
sgRNA2039,1563,1297,1412,1274
sgRNA2040,591,471,650,502
sgRNA2041,390,319,301,287
sgRNA2042,348,306,259,226
sgRNA2043,179,102,151,105
sgRNA2044,282,193,226,204
sgRNA2045,276,154,208,171
sgRNA2046,510,338,439,297
sgRNA2047,173,127,159,148
sgRNA2048,166,141,165,120
sgRNA2049,312,270,303,271
sgRNA2050,234,206,207,185
sgRNA2051,318,306,298,298
sgRNA2052,138,90,127,98
sgRNA2053,151,146,144,114
sgRNA2054,113,61,100,69
sgRNA2055,214,168,146,150
sgRNA2056,259,221,217,242
sgRNA2057,5,5,5,5
sgRNA2058,159,107,127,98
sgRNA2059,703,546,624,643
sgRNA2060,696,633,556,538
sgRNA2061,182,174,187,174
sgRNA2062,192,180,216,199
sgRNA2063,402,386,352,374
sgRNA2064,187,124,140,144
sgRNA2065,139,100,130,86
sgRNA2066,332,268,341,375
sgRNA2067,120,102,127,102
sgRNA2068,5,5,5,5
sgRNA2069,246,215,235,195
sgRNA2070,240,214,202,223
sgRNA2071,49,27,37,32
sgRNA2072,550,384,443,424
sgRNA2073,333,240,246,235
sgRNA2074,196,165,141,153
sgRNA2075,250,192,209,187
sgRNA2076,409,299,319,282
sgRNA2077,196,131,177,150
sgRNA2078,295,250,291,259
sgRNA2079,5,5,5,5
sgRNA2080,204,146,140,122
sgRNA2081,741,561,654,437
sgRNA2082,5,5,5,5
sgRNA2083,231,209,229,172
sgRNA2773,5,5,5,5
sgRNA2774,5,5,5,5
sgRNA2775,5,5,5,5
sgRNA2776,5,5,5,5
