#sgRNA,DMSO_B1,DMSO_B2,PHAR_STL_B1,PHAR_STL_B2
sgRNA1967,173,111,140,114
sgRNA1968,214,158,164,126
sgRNA1969,101,66,80,53
sgRNA1970,199,149,170,111
sgRNA1971,207,153,172,117
sgRNA1972,304,207,247,158
sgRNA1973,5,5,5,5
sgRNA1974,119,113,133,93
sgRNA1975,92,93,125,90
sgRNA1976,238,194,191,175
sgRNA1977,252,164,226,154
sgRNA1978,448,359,388,253
sgRNA1979,142,126,10,8
sgRNA1980,528,424,496,356
sgRNA1981,202,184,168,157
sgRNA1982,262,206,217,172
sgRNA1983,682,515,593,393
sgRNA1984,278,222,205,176
sgRNA1985,908,647,790,501
sgRNA1986,328,281,282,213
sgRNA1987,5,5,5,5
sgRNA1988,5,5,5,5
sgRNA1989,9,10,13,9
sgRNA1990,324,269,282,211
sgRNA1991,5,5,5,5
sgRNA1992,339,275,316,213
sgRNA1993,137,101,125,82
sgRNA1994,208,185,165,173
sgRNA1995,203,149,167,132
sgRNA1996,5,5,5,5
sgRNA1997,119,118,143,85
sgRNA1998,141,114,140,94
sgRNA1999,195,173,206,149
sgRNA2000,794,540,694,403
sgRNA2001,87,76,99,43
sgRNA2002,5,5,5,5
sgRNA2003,5,5,5,5
sgRNA2004,267,230,262,192
sgRNA2005,5,5,5,5
sgRNA2006,201,137,193,132
sgRNA2008,5,5,5,5
sgRNA2009,165,118,135,95
sgRNA2010,188,118,137,103
sgRNA2011,468,391,433,314
sgRNA2012,5,5,5,5
sgRNA2013,119,127,142,106
sgRNA2014,164,136,129,100
sgRNA2015,684,558,676,514
sgRNA2016,182,125,163,124
sgRNA2017,278,230,309,190
sgRNA2018,5,6,5,5
sgRNA2019,5,5,5,5
sgRNA2020,136,91,120,92
sgRNA2021,543,439,502,398
sgRNA2022,17,18,18,14
sgRNA2023,5,5,5,5
sgRNA2026,1413,1242,1249,1064
sgRNA2027,6,6,6,5
sgRNA2028,786,576,733,535
sgRNA2029,484,352,466,304
sgRNA2030,317,251,266,214
sgRNA2031,328,279,261,217
sgRNA2033,5,5,5,5
sgRNA2034,260,233,255,224
sgRNA2035,418,304,341,258
sgRNA2036,254,188,233,149
sgRNA2037,258,160,211,148
sgRNA2038,85,83,118,77
sgRNA2039,1563,1297,1514,1158
sgRNA2040,591,471,560,367
sgRNA2041,390,319,307,240
sgRNA2042,348,306,320,180
sgRNA2043,179,102,150,88
sgRNA2044,282,193,260,176
sgRNA2045,276,154,243,121
sgRNA2046,510,338,468,292
sgRNA2047,173,127,181,121
sgRNA2048,166,141,23,18
sgRNA2049,312,270,324,259
sgRNA2050,234,206,249,160
sgRNA2051,318,306,340,248
sgRNA2052,138,90,139,79
sgRNA2053,151,146,169,117
sgRNA2054,113,61,92,71
sgRNA2055,214,168,183,133
sgRNA2056,259,221,228,200
sgRNA2057,5,5,5,5
sgRNA2058,159,107,131,93
sgRNA2059,703,546,733,501
sgRNA2060,696,633,584,456
sgRNA2061,182,174,213,133
sgRNA2062,192,180,210,154
sgRNA2063,402,386,379,352
sgRNA2064,187,124,164,125
sgRNA2065,139,100,152,110
sgRNA2066,332,268,352,217
sgRNA2067,120,102,120,94
sgRNA2068,5,5,5,5
sgRNA2069,246,215,240,155
sgRNA2070,240,214,271,209
sgRNA2071,49,27,36,23
sgRNA2072,550,384,464,255
sgRNA2073,333,240,249,147
sgRNA2074,196,165,179,140
sgRNA2075,250,192,231,166
sgRNA2076,409,299,293,232
sgRNA2077,196,131,183,125
sgRNA2078,295,250,311,215
sgRNA2079,5,5,5,5
sgRNA2080,204,146,151,130
sgRNA2081,741,561,85,53
sgRNA2082,5,5,5,5
sgRNA2083,231,209,205,212
sgRNA2773,5,5,5,5
sgRNA2774,5,5,5,5
sgRNA2775,5,5,5,5
sgRNA2776,5,5,5,5
