sgRNA_Manual,10x5x3xpool_Dep,10x5x3xWOR_Dep,10x5x3xWR_Dep,20x10x5xpool_Dep,20x10x5xWOR_Dep,20x10x5xWR_Dep,Spike-in_IC55_Depletion,Spike-in_IC55_Dep_Cond,1X_Depletion,Condition_1X_IC30_Dep
1385,42.51819199,-41.80093866,-36.17433025,54.26513735,-55.54062573,-192.1493357,25.90387811,5x3x2xpool_Dep,73.18596828,ON_0R
1523,60.57876006,-1.622817865,6.924223477,69.92562694,0.748235688,-69.1341088,53.64488971,5x3x2xpool_Dep,57.31707317,ON_0R
1865,45.81743369,-36.40277143,-26.11923364,51.52699204,-13.55580983,-137.5478572,27.22050753,5x3x2xpool_Dep,76.74418605,ON_0R
1616,51.42027432,19.79949709,23.22321638,62.82577768,15.47458839,-55.680236,33.71235054,5x3x2xpool_Dep,57.85123967,ON_0R
1637,33.80945503,-75.77308419,-76.00292922,42.80694128,-51.89630776,-164.0516615,8.162191168,5x3x2xpool_Dep,37.76460627,ON_05R
1966,57.02580807,24.01851535,26.74491887,62.77154918,32.58437543,-13.09893232,47.09898496,5x3x2xpool_Dep,87.40740741,ON_0R
1606,43.85489411,7.842725339,2.217061564,52.90720509,9.319008205,-43.93287733,16.56300868,5x3x2xpool_Dep,57.79310345,ON_01R
2039,-351.9754032,38.91593539,37.6120837,-331.9084517,36.65581244,81.30095142,-227.9608077,5x3x2xpool_Dep,97.75621589,ON_0R
1798,55.11691828,23.65652512,21.07841454,65.08023556,6.606950381,73.92462683,53.57875612,5x3x2xpool_Dep,96.80337756,ON_01R
1507,49.75140755,-123.6783056,-132.5711575,57.14011499,-118.917141,-279.6798993,37.26933912,5x3x2xpool_Dep,71.95633921,ON_0R
1920,41.2391347,38.5877914,38.19828552,53.8413444,45.14596258,-6.500572342,27.46084475,5x3x2xpool_Dep,65.19125683,ON_0R
1456,51.58878032,-32.28259618,-23.52339403,55.74823663,-17.85481664,-104.2837002,36.63721988,5x3x2xpool_Dep,94.20654912,ON_0R
1514,39.81318289,-29.55933875,-36.44362109,46.19720694,-18.7605479,-81.120306,20.45987629,5x3x2xpool_Dep,53.13921747,ON_01R
1663,-88.67325154,-76.32322455,-75.44077797,-101.928301,-107.9676259,-9.595143417,-13.90188133,5x3x2xpool_Dep,89.06030856,ON_02R
1665,-166.4400913,-86.82464115,-90.32003474,-151.9550716,-81.03278916,61.48813482,-118.7565664,5x3x2xpool_Dep,97.50908147,ON_0R
1352,-277.1467706,-51.08365874,-59.05020175,-385.2064657,-43.04636822,94.21451931,-181.0813629,5x3x2xpool_Dep,98.55670103,ON_0R
1446,59.38600649,-74.14611366,-75.47113247,67.31282,-65.55125436,-225.6716083,43.12506993,5x3x2xpool_Dep,55.30624621,ON_01R
1450,45.72374173,4.136911602,-9.168734526,46.46536622,17.31257465,-57.24742328,23.02020789,5x3x2xpool_Dep,27.66884532,#N/A
1772,-87.10125692,-34.94697705,-35.36227529,-307.8249279,-12.2716859,-83.74652943,-168.5993103,5x3x2xpool_Dep,69.92565056,ON_0R
1937,52.86671624,-9.665988279,-17.63385883,61.34553113,-18.4857603,-111.5483944,32.31917196,5x3x2xpool_Dep,55.50632911,ON_0R
2056,57.87145499,50.07835377,47.77495055,67.97594594,43.11113951,13.9683214,49.98510526,5x3x2xpool_Dep,69.40874036,ON_0R
1453,33.07841374,27.87679547,28.26887369,46.73983582,26.04901038,-35.03825288,17.77656049,5x3x2xpool_Dep,3.383084577,#N/A
1835,42.3527627,38.26923731,34.10419823,51.33973293,32.04966534,33.95479916,25.46010743,5x3x2xpool_Dep,98.08743169,ON_0R
1451,-141.0723927,-9.731637339,-14.42961293,-249.8313128,-2.808520626,79.10995178,-176.9287387,5x3x2xpool_Dep,97.39726027,ON_01R
1762,67.93571451,25.14677526,13.36148092,66.674123,33.3192941,68.43980696,54.50367971,5x3x2xpool_Dep,81.22522523,ON_0R
1653,-194.3784215,-59.55376233,-58.44131703,-306.4797758,-56.74275238,72.669158,-152.2973517,5x3x2xpool_Dep,97.38126942,ON_0R
1982,55.50142714,48.79537136,43.89053904,58.14306276,52.95496841,21.54301745,43.12920972,5x3x2xpool_Dep,86.16144975,ON_0R
1896,66.79182782,26.79658029,28.16555726,70.3815002,28.07439076,-8.819064299,53.00483044,5x3x2xpool_Dep,63.91184573,ON_0R
1441,-81.73926956,-67.34280014,-74.69144775,40.19676437,-63.76868773,-45.62248172,-58.70940118,5x3x2xpool_Dep,77.07423581,ON_05R
1918,22.81966195,-8.728568788,-5.153466572,42.46997402,-18.87859555,-115.8910187,7.15483712,5x3x2xpool_Dep,7.202881152,#N/A
1936,57.25874156,-19.00584937,-25.62525569,66.84082909,-33.15222439,-130.6399312,49.02570898,5x3x2xpool_Dep,48.92950392,ON_05R
1994,69.11667185,38.04991704,31.25473827,70.21104079,45.09569536,11.63805949,41.90707069,5x3x2xWOR_Dep,65.98860862,ON_0R
1777,54.83860118,38.53217213,35.583865,61.80702851,37.28954488,-3.564732061,44.34480121,5x3x2xpool_Dep,69.74358974,ON_0R
1884,45.16349258,30.13064561,31.91313039,57.36564667,36.53797302,-24.55209564,36.48062828,5x3x2xpool_Dep,26.02040816,#N/A
1695,71.41647051,44.53437508,49.760657,73.2533963,45.90549649,21.37666829,48.1453523,5x3x2xWOR_Dep,77.59017652,ON_0R
1742,58.25864317,-44.47737489,-54.55775505,60.67473351,-28.73375221,66.05525904,38.48548231,5x3x2xpool_Dep,98.04131054,ON_01R
1416,48.95313007,34.23135227,33.13318023,59.55278786,16.73478197,-40.90605201,37.30921277,5x3x2xpool_Dep,41.31868132,WOR_SP
2066,44.95141769,25.14738393,16.8601608,53.03970974,23.14721758,-44.49604546,33.47531452,5x3x2xpool_Dep,63.91129032,ON_0R
1367,26.03150934,-27.3780134,-40.53591846,42.80658803,-38.16122396,-119.9101635,7.507194642,5x3x2xpool_Dep,90.37487335,ON_0R
1557,42.8872602,-49.94275242,-49.18548943,60.7381328,-65.51451304,-88.328904,28.41712464,5x3x2xpool_Dep,87.37010392,ON_0R
1418,42.287024,33.62117518,31.50228219,58.73691078,16.17781157,-53.85286674,30.13065098,5x3x2xpool_Dep,53.85385385,ON_05R
2041,67.06137467,-13.3395009,-18.80751631,69.15549809,-5.876244133,-75.53355104,48.0205851,5x3x2xpool_Dep,72.01180521,ON_0R
1576,52.80979659,-14.25668888,-9.671494935,63.15110172,-15.68405905,-105.9504344,38.02672311,5x3x2xpool_Dep,74.204947,ON_0R
1485,54.32459724,-122.0303675,-93.27139014,51.23824383,-58.09842034,-165.9404839,39.53060604,5x3x2xpool_Dep,39.38437253,ON_05R
1876,-17.03330655,-37.26605715,-35.05949835,-50.06317638,-17.89318086,11.0820892,19.48562292,5x3x2xpool_Dep,97.97468354,ON_0R
1774,60.541421,10.1466961,0.758658402,64.27366328,17.84025807,-49.7009881,52.90248439,5x3x2xpool_Dep,72.6541555,ON_0R
1342,60.00770999,-19.34036013,-23.68586915,63.84600959,-13.45949958,-39.43259889,45.43201774,5x3x2xpool_Dep,88.64994026,ON_0R
1657,-421.6748224,35.8540857,36.02295902,-1226.23091,44.46253657,85.29931039,-352.4901734,5x3x2xpool_Dep,95.4984995,ON_01R
1587,49.82712858,0.63522475,6.645041177,61.70437823,-4.585501678,-88.42315526,34.26878198,5x3x2xpool_Dep,89.71631206,ON_0R
1391,48.23814069,14.75870897,4.142874568,53.992127,2.089228142,-77.78764439,39.59160963,5x3x2xpool_Dep,59.17992656,ON_0R
1592,54.16328049,5.715503326,-6.029316122,60.95229915,13.70337819,-79.60428088,33.97054352,5x3x2xpool_Dep,91.92156863,ON_0R
1619,17.98254306,47.44632039,44.8046137,38.99220739,45.30908737,40.00003419,10.39430628,5x3x2xpool_Dep,91.48211244,ON_0R
