Stock ID,Novobiocin-0R-R1,Novobiocin-0R-R2,Novobiocin-01R-R1,Novobiocin-01R-R2
1067,0.000526236,0.000595895,0.000619395,0.000522521
448,0.000972199,0.000990474,0.000671011,0.000880821
1257,0.000695702,0.000652263,0.000838764,0.000612096
779,0.00132005,0.00119179,0.001251694,0.00123912
1073,0.000686783,0.000934105,0.001032325,0.001179404
808,0.001373565,0.001425316,0.001316214,0.001403341
857,0.000606509,0.000563684,0.000593587,0.000552379
822,0.000588671,0.000515368,0.000593587,0.000627025
806,0.000927602,0.000748895,0.00082586,0.000627025
EDC51,0.000419205,0.000595895,0.000529066,0.000582237
1209,0.000749217,0.001111263,0.000993612,0.000940537
180,0.00083841,0.000797211,0.000774243,0.000880821
EDC1689,0.000998956,0.000829421,0.000709723,0.000821104
1033,0.000847329,0.000805263,0.000877476,0.000970395
1049,0.000526236,0.000523421,0.000787148,0.000821104
EDC5,0.000677863,0.000442895,0.000567779,0.000641954
416,0.001337888,0.00103879,0.001200077,0.001268979
510,0.000579752,0.000740842,0.000567779,0.000627025
1074,0.001007876,0.000740842,0.000864572,0.000627025
627,0.000775975,0.00103879,0.000800052,0.000701671
86,0.000793814,0.000603947,0.000838764,0.000686741
1069,0.000802733,0.000660316,0.000683915,0.0007166
931,0.000508397,0.000829421,0.000735531,0.000910679
982,0.00059759,0.000531474,0.000490354,0.000612096
EDC1706,0.000454882,0.000620053,0.000529066,0.000567308
1264,0.00047272,0.000652263,0.000516162,0.000671812
796,0.000642186,0.000789158,0.000683915,0.000656883
566,0.000677863,0.000628105,0.000916188,0.000791246
823,0.001007876,0.000797211,0.000645203,0.000761387
1034,0.001123826,0.001481684,0.001187173,0.001104758
696,0.000802733,0.000869684,0.000722627,0.00105997
EDC1692,0.000508397,0.000523421,0.000503258,0.000821104
1199,0.000651106,0.000644211,0.000696819,0.000686741
783,0.000998956,0.000966316,0.00089038,0.0010749
949,0.000695702,0.000571737,0.000748435,0.000821104
431,0.000865168,0.000724737,0.000683915,0.000850962
547,0.000668944,0.000571737,0.000658107,0.000582237
1191,0.00047272,0.000563684,0.000490354,0.000492662
841,0.001114907,0.001232053,0.001742048,0.001433199
944,0.00072246,0.000853579,0.000606491,0.000447875
854,0.000990037,0.000990474,0.00130331,0.001045041
848,0.000784894,0.001175684,0.000877476,0.001373483
833,0.00048164,0.000660316,0.000696819,0.000612096
1201,0.000642186,0.000773053,0.000619395,0.00105997
EDC47,0.000437043,0.00057979,0.00041293,0.000477733
192,0.000677863,0.000869684,0.000619395,0.000880821
576,0.000508397,0.000684474,0.000490354,0.000671812
1106,0.000552994,0.000571737,0.000516162,0.000582237
EDC1696,0.000651106,0.000571737,0.000567779,0.000612096
1068,0.00059759,0.000692526,0.000851668,0.000612096
666,0.000758137,0.001046842,0.00130331,0.000955466
795,0.000615429,0.000450947,0.000516162,0.000447875
586,0.000847329,0.000700579,0.000838764,0.000612096
508,0.000704621,0.000821368,0.00082586,0.001000254
691,0.000615429,0.00057979,0.00054197,0.000582237
1032,0.000490559,0.000660316,0.00047745,0.000612096
933,0.000820571,0.000716684,0.000722627,0.000612096
92,0.000927602,0.000813316,0.000774243,0.000731529
941,0.00071354,0.000636158,0.000748435,0.000656883
EDC1687,0.00072246,0.000563684,0.000619395,0.0007166
875,0.000633267,0.000555632,0.000645203,0.000880821
423,0.000784894,0.001030737,0.001032325,0.001015183
1025,0.000338932,0.000483158,0.000529066,0.000388158
EDC1698,0.000526236,0.000499263,0.000606491,0.000477733
1102,0.000900845,0.001183737,0.000993612,0.000910679
881,0.000606509,0.000595895,0.000529066,0.000447875
585,0.001114907,0.000877737,0.000916188,0.001000254
1098,0.000642186,0.000652263,0.000632299,0.000641954
507,0.000570832,0.000684474,0.000800052,0.000582237
EDC28,0.000677863,0.000684474,0.000567779,0.000880821
EDC1694,0.000490559,0.000595895,0.000658107,0.000507591
1023,0.000642186,0.000644211,0.000709723,0.000627025
EDC12,0.000651106,0.000523421,0.000438738,0.000641954
797,0.000820571,0.000781105,0.000645203,0.00053745
698,0.000570832,0.000499263,0.000593587,0.000328442
EDC50,0.000740298,0.000781105,0.000864572,0.000880821
977,0.000544074,0.000765,0.000516162,0.000492662
803,0.000437043,0.000386526,0.000516162,0.000507591
934,0.000677863,0.000507316,0.00047745,0.00053745
851,0.000749217,0.00073279,0.000787148,0.000761387
846,0.000508397,0.000491211,0.000425834,0.000612096
932,0.000642186,0.000547579,0.000735531,0.000507591
323,0.000909764,0.001127368,0.000877476,0.00105997
EDC1701,0.000428124,0.000531474,0.000645203,0.000671812
380,0.000793814,0.000668368,0.00082586,0.000641954
1256,0.000677863,0.000813316,0.000580683,0.000671812
568,0.001150584,0.001377,0.001161365,0.00123912
1076,0.00047272,0.000507316,0.000490354,0.000477733
953,0.000909764,0.000950211,0.000903284,0.000925608
987,0.000552994,0.000426789,0.00041293,0.0003583
821,0.000900845,0.000813316,0.000683915,0.000910679
856,0.000419205,0.000491211,0.000529066,0.000507591
EDC45,0.000695702,0.000636158,0.000567779,0.000492662
EDC11,0.000615429,0.000724737,0.000619395,0.000612096
378,0.000338932,0.000281842,0.00041293,0.000313512
695,0.000615429,0.000740842,0.000761339,0.001030112
837,0.000749217,0.000539526,0.000322601,0.000791246
989,0.000365689,0.000434842,0.000438738,0.000447875
1020,0.000454882,0.000603947,0.000451642,0.000641954
EDC52,0.00059759,0.000450947,0.000748435,0.000507591
EDC48,0.000945441,0.000813316,0.000645203,0.0007166
831,0.000731379,0.000756947,0.00082586,0.000701671
EDC15,0.000410286,0.000322105,0.000335506,0.000447875
EDC1691,0.000552994,0.000571737,0.000580683,0.000671812
847,0.000615429,0.000805263,0.000709723,0.000880821
838,0.000535155,0.000523421,0.000529066,0.000731529
690,0.000677863,0.000652263,0.000529066,0.000612096
887,0.00083841,0.001006579,0.000916188,0.00123912
578,0.000651106,0.000571737,0.00054197,0.000656883
